targetid,z,zwarn,spectype,deltachi2
1070743378984978,1.2009462471136663,4,GALAXY,2.8193555176258087
1070743378984980,0.8722645900129915,4,GALAXY,4.774987967684865
1070743378984985,1.2725788909946474,4,GALAXY,0.2160511016845703
1070743378984991,1.1628941001285,4,GALAXY,2.536490388214588
1070743383179264,1.3062583988727796,4,GALAXY,0.1614181101322174
1070743383179277,1.4694265967211573,4,GALAXY,0.19146296381950378
1070743395762178,0.34463080366477505,4,GALAXY,2.421849500387907
1070748756082692,1.2854784849395948,4,GALAXY,7.2998307049274445
1070748764471309,0.9145393247103009,4,GALAXY,4.030759572982788
1070748764471314,0.06910512311968363,4,GALAXY,1.878375081345439
1070748768665621,0.7704225679500365,4,GALAXY,3.5889176800847054
1070754128986112,1.561921945427231,4,GALAXY,2.19382581114769
1070754137374723,1.4206423307364282,4,GALAXY,0.4918626875150949
1070754137374724,0.9079183676654969,4,GALAXY,1.1218295991420746
1070754137374737,1.02250903014287,4,GALAXY,5.09604686498642
1070754145763337,1.239337057909159,4,GALAXY,6.705992430448532
1070754166734850,0.1893013641841622,4,GALAXY,1.605741790495813
1070759493500945,1.1409870871800682,4,GALAXY,4.2321678046137094
1070759493500949,0.15103835962713366,4,GALAXY,1.255562614183873
1070759497695233,1.4937955741099502,4,GALAXY,5.723425634205341
1070759497695246,1.6227202225521418,4,GALAXY,7.3668632954359055
1070759501889569,0.5237426007152468,4,GALAXY,1.2588935047388077
1070764866404364,0.9229297152736559,4,GALAXY,0.36484602838754654
1070770205753361,1.4278856146348375,4,GALAXY,5.787651337683201
1070770205753369,0.3706573691747417,4,GALAXY,2.2071161083877087
1070780817342468,1.5291723130650232,4,GALAXY,1.4648837000131607
1070791412154381,0.20560838878140972,4,GALAXY,8.832811478059739
1070796667617280,1.5468507216470642,4,GALAXY,0.6715311408042908
1070801927274497,0.3862637123349668,4,GALAXY,0.5958488285541534
1070801927274501,0.0007523034487413312,4,GALAXY,2.592133127730449
1070874471956480,1.06650587683483,4,GALAXY,3.2298320531845093
1070874476150795,0.4713252895911036,4,GALAXY,3.693402796983719
1070879530287107,1.4797532608278132,4,GALAXY,3.669358938932419
1070880016826374,1.543282692327318,4,GALAXY,6.548087418079376
1070890104127488,0.9968906113280273,4,GALAXY,1.1419769674539566
1070895107932160,1.508381538257633,4,GALAXY,0.8168919384479523
1070905052626952,0.9451235029616055,4,GALAXY,3.9434247072786093
1070905065209861,1.5271858846167221,0,GALAXY,12.436147823929787
1070909561503749,1.4463021707047308,4,GALAXY,0.858425922691822
1070910031265797,1.375859874481897,4,GALAXY,0.9844331443309784
1070914988933125,1.55010533313736,4,GALAXY,6.323145464062691
1070914993127424,0.038367543975780065,4,GALAXY,1.994463007489685
1070914993127433,0.9216970692074679,4,GALAXY,0.1387933101505041
1070919900463116,1.557878116172565,4,GALAXY,3.0553091330220923
1070919908851713,0.059771685000306135,0,GALAXY,35.23375081643462
1070924359008259,1.4065044357540883,4,GALAXY,1.8266904205083847
1070924837158914,0.11555591333080759,4,GALAXY,0.7329640425741673
1070929736105990,0.7667030841723416,4,GALAXY,0.8982188552618027
1071042420277249,1.502843032008586,4,GALAXY,7.159467667341232
1071042420277253,0.6773183421227583,4,GALAXY,2.0429221196100116
1071042424471563,0.5162650867865463,4,GALAXY,0.1297731176018715
1071042424471565,1.3518310528488744,4,GALAXY,0.2052597776055336
1071042424471570,0.18710206147638286,4,GALAXY,0.4836130067706108
1071042424471576,1.429271739426115,0,GALAXY,10.425794512033463
1071046899793921,1.3620606680111211,4,GALAXY,1.4157799577806145
1071046899793925,1.2021718447926322,4,GALAXY,6.998988211154938
1071051366727683,0.5621838324283304,4,GALAXY,0.33025868982076645
1071051375116294,0.01587611064556727,4,GALAXY,1.1845015259314096
1071051379310604,0.539233804961665,4,GALAXY,3.0291967764496803
