targetid,ra,dec,z,spectype,anomaly_score,obs_wavelength,rest_wavelength,rest_region,extended_match,ext_lab_wavelength,ext_offset,matched,physical_interpretation,worst_band
39637210621808589,19.819772720336914,27.101287841796875,-4.604002242558636e-05,STAR,7.246203899383545,8819.2001953125,8819.61,nir_region,CaII 8662,8662,157.61,False,NIR region: possible molecular band or telluric residual,Z
39633010877796273,220.96112060546875,36.38758850097656,5.2670793533325195,QSO,7.232244491577148,9331.2001953125,1488.92,uv_emission_region,CIV,1549,60.08,False,"UV desert: no standard emission line, possible unusual FeII or BAL feature",Z
39627908125297081,160.0560760498047,4.9977707862854,5.390198230743408,QSO,6.1546630859375,6715.6552734375,1050.93,lyman_forest_region,Ly-beta,1026,24.93,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39628241526326839,347.6620788574219,18.922176361083984,5.908540725708008,QSO,6.154634475708008,7151.79296875,1035.21,lyman_forest_region,Ly-beta,1026,9.21,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39628492031133930,238.59571838378906,30.53736114501953,4.844939231872559,QSO,5.473885536193848,7138.96533203125,1221.39,uv_emission_region,Ly-alpha,1216,5.39,True,UV emission match: Ly-alpha (offset 5A),Z
39633191367084936,162.18775939941406,46.62178039550781,6.195603370666504,QSO,5.300685405731201,5804.896484375,806.73,sub_lyman_limit,Ly-limit (912A),912,105.27,False,Near Lyman limit: possible LyC leaker or DLA Gunn-Peterson trough,Z
39633127475250050,226.92343139648438,42.704734802246094,1.6364126205444336,GALAXY,5.299241542816162,5792.06884765625,2196.95,uv_iron_region,FeII UV1 (2344),2344,147.05,False,UV iron pseudo-continuum region: possible unusual FeII/MgII feature,R
39627817775793900,169.84022521972656,1.2190630435943604,5.7820940017700195,QSO,5.236380100250244,6908.06884765625,1018.57,lyman_forest_region,Ly-beta,1026,7.43,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39633169590258797,105.24641418457031,45.18284225463867,1.636776089668274,GALAXY,5.209512710571289,5792.06884765625,2196.65,uv_iron_region,FeII UV1 (2344),2344,147.35,False,UV iron pseudo-continuum region: possible unusual FeII/MgII feature,R
39628507709444221,245.88255310058594,31.200124740600586,6.216129302978516,QSO,5.183175563812256,7485.310546875,1037.3,lyman_forest_region,Ly-beta,1026,11.3,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39627855348374322,249.4674072265625,2.699554443359375,5.750887393951416,QSO,5.061894416809082,7113.310546875,1053.69,lyman_forest_region,Ly-beta,1026,27.69,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39628339324913201,114.97669219970703,23.597618103027344,4.129867011215538e-05,STAR,4.890491962432861,7974.39990234375,7974.07,nir_region,CaII 8498,8498,523.93,False,NIR region: possible molecular band or telluric residual,Z
39628176598500897,251.07093811035156,16.201656341552734,4.8363237380981445,QSO,4.886024475097656,5587.71923828125,957.4,lyman_forest_region,Ly-gamma,972,14.6,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,R
39627929977619335,27.15682601928711,6.005549430847168,5.976419925689697,QSO,4.873538970947266,7074.82763671875,1014.11,lyman_forest_region,Ly-beta,1026,11.89,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
