ra,dec,tid,score
218.313174,28.667633,-212067377,13.24
57.389819,-9.205775,-230015449,13.24
7.482659,6.611412,-210441233,13.24
225.607497,-5.757428,-201055052,13.23
128.508585,12.928880,-260637261,13.23
135.915316,-4.837368,-215404121,13.23
127.447320,-0.048048,-102326131,13.23
224.227094,-2.716441,-200935052,13.23
158.571348,-3.111754,-215688518,13.23
196.220195,4.701739,-52407377,13.23
176.777047,-6.931923,-234054222,13.23
294.717606,66.169961,-220728068,13.23
125.151619,16.835265,-229517261,13.22
310.257507,-5.482375,-18435052,13.22
9.988590,9.686549,-67276043,13.21
258.023143,36.870228,-209115449,13.21
203.989676,33.871860,616093708495881349,13.21
291.385902,71.521204,-205027377,13.21
174.643672,3.781985,616088630535914221,13.21
61.612719,-11.945016,-245658388,13.21
208.016704,6.115669,-216912523,13.21
329.113616,0.102852,-239485052,13.21
257.047915,7.392709,-219867261,13.21
227.781268,44.782558,-207687377,13.20
216.726622,5.928376,-201041094,13.20
193.093100,-3.682535,-237167261,13.20
147.260846,41.820380,-250737190,13.20
142.400805,1.255959,-246475449,13.20
206.147438,53.565298,-237904221,13.20
272.342428,34.680382,-18825052,13.19
168.729291,-7.590858,-218357377,13.19
127.714211,18.261364,-101717377,13.19
68.036274,-5.310788,-261754017,13.19
31.944745,3.162904,-79574428,13.19
7.531737,21.105737,-257167261,13.18
60.965362,-11.483424,-245658056,13.18
271.081335,46.762307,-18925052,13.18
265.397675,49.667178,-208955449,13.18
114.926201,41.324788,-225447192,13.18
104.685711,72.564400,-244495052,13.18
135.027506,53.002776,-240744121,13.18
94.196824,67.258071,-213475449,13.18
335.211230,1.270256,-65605449,13.17
127.369978,13.838932,-260635449,13.17
228.648197,22.713461,-11935052,13.17
137.366330,61.106089,-260385474,13.17
242.302721,28.090396,-202447377,13.17
197.482863,52.011838,-237637190,13.17
66.654891,-16.733172,-261477261,13.17
123.366737,10.388486,-237004174,13.17
347.656319,15.302969,-244064121,13.17
8.799979,16.464445,-241471159,13.17
161.665451,53.917125,-221867377,13.16
325.184986,21.916208,-232084348,13.16
340.358641,0.706577,-200107377,13.15
217.916174,5.465726,-248235052,13.15
144.059130,-1.097098,-230887261,13.15
175.135440,5.331937,-235835449,13.15
275.038618,40.213172,-255897377,13.15
236.442803,2.521477,-201307192,13.15
48.783573,1.976145,-32465449,13.14
102.425929,65.687270,-260075052,13.14
189.019855,3.261237,616088618716365498,13.14
226.332542,29.014752,-28177261,13.14
129.404727,45.273141,-256374121,13.14
213.466081,8.080571,-232567261,13.14
37.326716,30.579864,-33607192,13.13
235.422737,20.562455,-12215052,13.13
186.486212,-1.937143,-99425052,13.13
65.008680,-11.413083,-230683135,13.13
107.103654,52.439919,-256487377,13.13
188.941206,-1.215466,616088510000005898,13.13
118.588841,45.076162,-241187377,13.13
112.967763,30.806063,-24145052,13.13
259.164966,15.310084,-235395449,13.13
199.219721,4.190652,-242377192,13.13
155.716692,40.825081,-250858084,13.12
323.929076,-2.685010,-224021094,13.12
166.194039,43.681805,616093896677523738,13.12
65.116620,-12.833489,-230681246,13.12
148.126868,-5.453991,-56635449,13.12
153.665936,-5.644669,-262437377,13.11
260.717451,34.395570,-240437261,13.11
198.679638,34.242290,-243001072,13.11
352.465260,31.447622,-203147377,13.11
256.332546,58.767187,-17475052,13.11
232.358026,32.531185,-202401081,13.11
313.110837,6.412085,-232037377,13.10
18.287447,6.018733,616088682130047681,13.10
277.179370,44.879800,-224497377,13.10
216.325340,33.373645,-227595052,13.10
165.453090,37.388883,-219187377,13.10
237.022695,6.348399,-217851365,13.09
193.470635,1.174977,-226865449,13.09
334.393530,-0.120127,-96525052,13.09
10.251345,11.702576,616088819376062876,13.09
156.686268,-6.371987,-88115449,13.09
205.745939,36.313618,616093758106108839,13.09
52.288507,0.631146,-253815449,13.09
140.600944,-4.282050,-87896131,13.09
269.923639,59.755404,-200015449,13.09
14.357669,-11.807829,-73987261,13.09
135.103968,59.691037,-50895449,13.09
209.615597,-0.361227,-42545052,13.08
31.371873,-8.824720,-16735449,13.08
64.641096,-11.007084,-230684294,13.08
215.457970,-1.129072,-200827377,13.08
348.228197,13.182608,-22273294,13.08
214.496625,42.984066,-258555449,13.08
96.184843,63.977566,616094184356446701,13.08
136.159257,-1.049242,-119372474,13.08
68.292618,-5.512431,-246137261,13.08
131.839186,6.688029,616088702052991310,13.08
208.570852,51.499611,-258895052,13.08
169.793139,5.530798,-46137377,13.08
114.670981,39.809330,-209767377,13.07
13.776902,28.368148,-254995449,13.07
216.698663,-4.222357,-10817377,13.07
233.351580,5.475470,-26757261,13.07
261.775019,15.514247,-61008397,13.07
164.978411,66.319885,-213325052,13.07
260.973559,24.007424,-14235052,13.07
210.653275,6.978872,-216917261,13.06
105.593661,60.880638,-213128323,13.06
337.138545,-2.121794,-208785052,13.06
104.618750,65.463871,-213097261,13.06
42.677077,3.524345,-206877261,13.06
208.905929,-3.496398,-11085052,13.05
255.277440,21.574669,-203946345,13.05
199.174430,60.898936,616094151485685921,13.05
337.162701,23.730889,-250233217,13.05
122.362361,17.893615,-23847377,13.05
205.575542,-1.138212,-89435052,13.05
346.426225,0.085778,-236873277,13.05
218.722362,46.471602,-242957261,13.05
151.584227,0.993266,-103427261,13.05
212.907412,32.115921,616089274999112804,13.04
38.799950,3.618163,-222365449,13.04
49.376614,-1.429830,-238165449,13.04
173.516540,38.498905,-250507372,13.04
60.330562,-9.907782,-55655449,13.03
140.537738,-3.295427,-231014222,13.03
118.908868,47.246539,-240789055,13.03
231.576864,4.396101,-200995449,13.03
153.073293,3.004038,616088612076782222,13.03
190.010507,32.404229,-227387377,13.02
27.986531,32.490991,-208065052,13.02
194.988323,37.893989,-100015449,13.02
131.423745,-5.278908,-215417377,13.02
215.083148,4.458552,-11245052,13.02
160.194487,3.274737,-62081178,13.02
236.556818,3.618519,-232364222,13.02
247.414394,25.835027,-218247377,13.02
29.260379,-1.316588,-222737377,13.02
355.737052,-2.939552,-109416344,13.02
4.450047,12.402424,-243894112,13.02
158.553044,24.058742,-91567261,13.02
151.531061,41.820600,616093860900111255,13.01
249.737154,9.306038,-235614017,13.01
61.573923,-11.940430,-245658367,13.01
155.813513,54.296061,-222257261,13.01
6.986935,-11.071645,-201355449,13.01
352.299325,1.405279,616088579180855463,13.01
145.336319,-5.900054,-246896131,13.01
232.184812,4.402689,-247967261,13.01
171.829920,5.887304,616088684696961112,13.01
183.308352,1.394362,616088576345505923,13.01
114.093796,48.409248,-209597261,13.01
51.813061,-8.953074,-261667261,13.00
