==============================================================================
ROW 11(b): compaction scan extended to gamma_cr in [0.2, 1.0]
==============================================================================
wide-grid integrator vs committed integrator: max rel. diff 5.74e-16 (must be << 1e-6)

--- family L: lognormal(Delta, r_p k_p) ---
   Delta  rp*kp  C_th  gamma_cr      A(0)  A(-35/16)  A(-35/8)   ratio
       1.0      1e-06   0.75   0.4    0.2652    0.0349     0.0045    0.0024  1.8519
       1.0      1e-06   0.75   0.5    0.2652    0.0645     0.0063    0.0034  1.8734
       1.0      1e-06   0.75   0.6    0.2652    0.1209     0.0090    0.0047  1.8921
       1.0      1e-06    1.0   0.4    0.2679    0.0349     0.0045    0.0025  1.8511
       1.0      1e-06    1.0   0.5    0.2679    0.0645     0.0064    0.0034  1.8727
       1.0      1e-06    1.0   0.6    0.2679    0.1209     0.0091    0.0048  1.8915
       1.0      1e-05   0.75   0.4    0.2896    0.0349     0.0050    0.0027  1.8448
       1.0      1e-05   0.75   0.5    0.2896    0.0645     0.0071    0.0038  1.8674
       1.0      1e-05   0.75   0.6    0.2896    0.1209     0.0100    0.0053  1.8870
       1.0      1e-05    1.0   0.4    0.2932    0.0349     0.0051    0.0028  1.8438
       1.0      1e-05    1.0   0.5    0.2932    0.0645     0.0072    0.0039  1.8665
       1.0      1e-05    1.0   0.6    0.2932    0.1209     0.0102    0.0054  1.8863
       1.0      1e-04   0.75   0.4    0.3224    0.0349     0.0058    0.0031  1.8356
       1.0      1e-04   0.75   0.5    0.3224    0.0645     0.0082    0.0044  1.8597
       1.0      1e-04   0.75   0.6    0.3224    0.1209     0.0116    0.0062  1.8804
       1.0      1e-04    1.0   0.4    0.3273    0.0349     0.0059    0.0032  1.8343
       1.0      1e-04    1.0   0.5    0.3273    0.0645     0.0083    0.0045  1.8585
       1.0      1e-04    1.0   0.6    0.3273    0.1209     0.0118    0.0063  1.8795
       1.0      1e-03   0.75   0.4    0.3696    0.0349     0.0070    0.0038  1.8231
       1.0      1e-03   0.75   0.5    0.3696    0.0645     0.0099    0.0053  1.8490
       1.0      1e-03   0.75   0.6    0.3696    0.1209     0.0141    0.0075  1.8715
       1.0      1e-03    1.0   0.4    0.3771    0.0349     0.0072    0.0039  1.8211
       1.0      1e-03    1.0   0.5    0.3771    0.0645     0.0102    0.0055  1.8474
