tid,ra,dec,anomaly_score,worst_band,residual_B,residual_R,residual_Z,W1mag,W2mag,W3mag,W4mag,W1_W2,wise_source,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,likely_star,sdss_umag,sdss_gmag,sdss_rmag,sdss_imag,sdss_zmag,sdss_class,known_qso,qso_type,qso_z,has_wise,has_gaia,has_sdss,in_any_catalog,classification,qso_confidence
616088576546833289,195.277478,1.557383,10.58,B,3.8837,2.2202,0.2751,18.40399932861328,17.281999588012695,,,1.122,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-254945449,14.808379,31.579144,10.573,B,4.0496,1.8384,0.2196,18.006000518798828,16.96500015258789,12.5600004196167,9.35200023651123,1.041,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-48175449,51.521483,1.127142,10.57,B,3.8056,2.2869,0.2472,17.72800064086914,16.639999389648438,,,1.088,CatWISE2020,,,,,,,24.229000091552734,25.19099998474121,22.979999542236328,21.97599983215332,23.20299911499023,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-205481415,341.306599,-1.29272,10.57,B,3.7093,0.2424,1.7593,17.836999893188477,16.70400047302246,,,1.133,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-230895449,139.647688,0.330967,10.566,B,3.8871,2.0226,0.3509,17.51099967956543,16.27400016784668,,,1.237,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-209405449,123.414294,44.96197,10.545,B,3.948,2.0137,0.191,18.768999099731445,16.961000442504883,,,1.808,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-32476176,39.895922,-6.159349,10.51,B,3.4464,2.7155,0.2128,18.27899932861328,17.048999786376953,,,1.23,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-17765106,231.936148,37.253495,10.508,Z,0.4808,3.0215,3.0616,18.881999969482425,17.586999893188477,,,1.295,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-222384519,32.511512,1.391313,10.502,B,3.4465,0.1819,1.9742,18.03300094604492,16.893999099731445,,,1.139,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-67055449,19.75032,9.599176,10.47,B,3.606,2.5625,0.4834,17.99799919128418,16.93199920654297,,,1.066,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-61007261,261.340459,16.215959,10.466,B,3.6613,2.3045,0.2195,18.65399932861328,17.459999084472656,,,1.194,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-227574221,219.474878,42.089953,10.443,B,4.0727,0.2295,1.4235,18.31399917602539,17.2810001373291,,,1.033,CatWISE2020,,,,,,,24.09600067138672,23.082000732421875,21.891000747680664,21.2189998626709,20.358999252319336,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-261985449,143.897526,7.870929,10.435,B,3.8162,2.1119,0.2703,17.8799991607666,16.555999755859375,,,1.324,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-240337377,267.929557,34.144785,10.389,B,3.9894,1.9107,0.285,17.22100067138672,15.947999954223633,12.17300033569336,8.982000350952148,1.273,AllWISE,,,,,21.08661460876465,0.0,,,,,,,0,,,1,1,0,1,QSO_CANDIDATE,GOLD
-23475449,94.196824,67.258064,10.375,B,3.7336,2.1212,0.4042,18.562999725341797,17.454999923706055,,,1.108,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-21237261,190.734972,5.011991,10.317,B,3.3183,2.7523,0.1865,18.357999801635746,17.010000228881836,,,1.348,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-224434221,274.227333,41.82342,10.312,B,3.6789,0.3181,1.9479,17.364999771118164,16.357999801635742,,,1.007,CatWISE2020,,,,,,,26.510000228881836,23.48500061035156,24.812000274658203,24.812999725341797,22.231000900268555,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-238175449,51.521529,1.127145,10.306,B,3.8813,1.9563,0.4154,17.72800064086914,16.639999389648438,,,1.088,CatWISE2020,,,,,,,24.229000091552734,25.19099998474121,22.979999542236328,21.97599983215332,23.20299911499023,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-224021122,323.732128,-2.574272,10.298,B,3.9724,0.2589,1.493,18.54400062561035,17.246999740600586,,,1.297,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-248296274,239.236287,3.244787,10.283,B,3.7826,2.0187,0.2084,18.684999465942383,17.10099983215332,,,1.584,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-13157377,69.879387,0.793102,10.268,B,3.689,2.1875,0.2664,17.17799949645996,15.78499984741211,11.972999572753906,8.817999839782715,1.393,AllWISE,,,,,,,24.413999557495117,23.816999435424805,22.72800064086914,22.641000747680664,22.983999252319336,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-237054221,115.315524,24.793958,10.265,B,3.8303,0.2118,1.5801,18.08099937438965,16.5939998626709,,,1.487,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-255805052,311.796971,2.70178,10.263,B,3.827,1.8536,0.2572,18.479999542236328,17.40399932861328,,,1.076,CatWISE2020,,,,,,,24.298999786376953,24.393999099731445,22.767000198364254,22.011999130249023,21.149999618530273,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-255025052,29.622075,25.607006,10.24,B,3.7799,2.085,0.2477,18.599000930786133,17.420000076293945,,,1.179,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-252401403,351.057997,-3.801204,10.214,B,3.5889,0.1785,2.0268,18.48900032043457,17.398000717163086,,,1.091,CatWISE2020,,,,,,,27.55299949645996,23.011999130249023,20.856000900268555,19.667999267578125,18.667999267578125,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
