======================================================================
DESI DR1 FULL-SCALE INFERENCE — H200 GPU
======================================================================
Model loaded on H200 (150 GB VRAM)

Mapping DESI DR1 pixels...
Total DR1 main survey pixels: 27488
Estimated spectra: ~17M

Processing with 8 parallel downloads...
  [24400/27488] 15946299 spectra, 163482 anomalies, 896 spec/s, ETA: 0.6h
  [24500/27488] 15979794 spectra, 164664 anomalies, 895 spec/s, ETA: 0.6h
  [24600/27488] 16054923 spectra, 165905 anomalies, 895 spec/s, ETA: 0.6h
  [24700/27488] 16121717 spectra, 167332 anomalies, 895 spec/s, ETA: 0.6h
  [24800/27488] 16161257 spectra, 168178 anomalies, 895 spec/s, ETA: 0.5h
  [24900/27488] 16202927 spectra, 169183 anomalies, 895 spec/s, ETA: 0.5h
  [25000/27488] 16247096 spectra, 170403 anomalies, 895 spec/s, ETA: 0.5h
  [25100/27488] 16280782 spectra, 170921 anomalies, 895 spec/s, ETA: 0.5h
  [25200/27488] 16329830 spectra, 172176 anomalies, 895 spec/s, ETA: 0.5h
  [25300/27488] 16367670 spectra, 173590 anomalies, 895 spec/s, ETA: 0.4h
  [25400/27488] 16405786 spectra, 175615 anomalies, 895 spec/s, ETA: 0.4h
  [25500/27488] 16449679 spectra, 177336 anomalies, 895 spec/s, ETA: 0.4h
  [25600/27488] 16499698 spectra, 178821 anomalies, 895 spec/s, ETA: 0.4h
  [25700/27488] 16537715 spectra, 179468 anomalies, 894 spec/s, ETA: 0.4h
  [25800/27488] 16628513 spectra, 181125 anomalies, 894 spec/s, ETA: 0.3h
  [25900/27488] 16686403 spectra, 181829 anomalies, 894 spec/s, ETA: 0.3h
  [26000/27488] 16755672 spectra, 182715 anomalies, 895 spec/s, ETA: 0.3h
  [26100/27488] 16825644 spectra, 183464 anomalies, 895 spec/s, ETA: 0.3h
  [26200/27488] 16871929 spectra, 184071 anomalies, 895 spec/s, ETA: 0.3h
  [26300/27488] 16930597 spectra, 185070 anomalies, 895 spec/s, ETA: 0.2h
  [26400/27488] 16973523 spectra, 185655 anomalies, 895 spec/s, ETA: 0.2h
  [26500/27488] 17006202 spectra, 186106 anomalies, 894 spec/s, ETA: 0.2h
  [26600/27488] 17036587 spectra, 186730 anomalies, 894 spec/s, ETA: 0.2h
  [26700/27488] 17099214 spectra, 187352 anomalies, 894 spec/s, ETA: 0.2h
  [26800/27488] 17198858 spectra, 188749 anomalies, 895 spec/s, ETA: 0.1h
  [26900/27488] 17285942 spectra, 189950 anomalies, 895 spec/s, ETA: 0.1h
  [27000/27488] 17374751 spectra, 190603 anomalies, 895 spec/s, ETA: 0.1h
  [27100/27488] 17443675 spectra, 191611 anomalies, 895 spec/s, ETA: 0.1h
  [27200/27488] 17494070 spectra, 192698 anomalies, 895 spec/s, ETA: 0.1h
  [27300/27488] 17526874 spectra, 193598 anomalies, 895 spec/s, ETA: 0.0h
  [27400/27488] 17604674 spectra, 194847 anomalies, 896 spec/s, ETA: 0.0h

======================================================================
COMPLETE!
  Pixels: 27488
  Spectra: 17651065
  Anomalies (score > 5.0): 195829
  Time: 19705s (5.5 hours)
  Rate: 896 spectra/sec
Saved: dr1_full_catalog.json
Saved: dr1_all_anomalies.json (195829 objects)
