pix,n_cw,n,n_ccw,cw_fraction,sigma_from_half
26622,64,130,66,0.49230769230769234,-0.17541160386140586
26623,31,58,27,0.5344827586206896,0.5252257314388902
26624,47,96,49,0.4895833333333333,-0.20412414523193154
26625,29,64,35,0.453125,-0.75
26626,33,82,49,0.4024390243902439,-1.7669044171975445
26628,25,53,28,0.4716981132075472,-0.4120816918460671
26629,51,110,59,0.4636363636363636,-0.7627700713964739
26630,53,110,57,0.4818181818181818,-0.38138503569823695
26631,61,145,84,0.4206896551724138,-1.9100460366360192
26632,66,156,90,0.4230769230769231,-1.9215378456610455
26633,47,91,44,0.5164835164835165,0.3144854510165755
26634,73,149,76,0.4899328859060403,-0.24576957615571215
26635,64,131,67,0.48854961832061067,-0.26211121699831136
26636,63,136,73,0.4632352941176471,-0.8574929257125441
26637,45,97,52,0.4639175257731959,-0.7107423155935334
26638,26,66,40,0.3939393939393939,-1.7232808737106582
26639,26,50,24,0.52,0.282842712474619
26640,52,98,46,0.5306122448979592,0.6060915267313265
26641,57,95,38,0.6,1.949358868961793
26642,26,59,33,0.4406779661016949,-0.9113223768657671
26643,31,69,38,0.4492753623188406,-0.8427009716003844
26644,22,50,28,0.44,-0.848528137423857
26645,42,94,52,0.44680851063829785,-1.0314212462587933
26646,66,115,49,0.5739130434782609,1.5852581740085334
26647,59,126,67,0.46825396825396826,-0.7126966450997984
26648,24,59,35,0.4067796610169492,-1.4320780207890627
26649,31,53,22,0.5849056603773585,1.2362450755382013
26650,31,52,21,0.5961538461538461,1.386750490563073
26651,34,75,41,0.4533333333333333,-0.808290376865476
26652,38,64,26,0.59375,1.5
26654,24,58,34,0.41379310344827586,-1.3130643285972254
26655,36,54,18,0.6666666666666666,2.449489742783178
26657,47,96,49,0.4895833333333333,-0.20412414523193154
26658,46,83,37,0.5542168674698795,0.9878783399072131
26715,30,64,34,0.46875,-0.5
26716,29,58,29,0.5,0.0
26717,62,132,70,0.4696969696969697,-0.6963106238227914
26719,43,76,33,0.5657894736842105,1.1470786693528088
26720,38,72,34,0.5277777777777778,0.47140452079103173
26722,39,90,51,0.43333333333333335,-1.2649110640673518
26723,40,89,49,0.449438202247191,-0.953998092005724
26724,57,120,63,0.475,-0.5477225575051661
26725,27,54,27,0.5,0.0
26726,42,92,50,0.45652173913043476,-0.8340576562282991
26727,19,52,33,0.36538461538461536,-1.9414506867883021
26729,93,188,95,0.4946808510638298,-0.14586499149789456
26730,32,73,41,0.4383561643835616,-1.0533703247651751
26738,23,50,27,0.46,-0.565685424949238
26739,29,65,36,0.4461538461538462,-0.8682431421244593
26741,29,58,29,0.5,0.0
26748,23,51,28,0.45098039215686275,-0.7001400420140048
26749,25,52,27,0.4807692307692308,-0.2773500981126146
26751,27,51,24,0.5294117647058824,0.42008402520840293
26768,30,59,29,0.5084745762711864,0.13018891098082389
26770,35,68,33,0.5147058823529411,0.24253562503633297
26771,38,68,30,0.5588235294117647,0.9701425001453319
26772,36,70,34,0.5142857142857142,0.23904572186687872
26773,36,71,35,0.5070422535211268,0.11867816581938533
26774,46,93,47,0.4946236559139785,-0.10369516947304253
