# Galaxy Zoo DECaLS Spiral Galaxy Catalog
# Source: Walmsley et al. (2022), MNRAS 509:3966
# DOI: 10.5281/zenodo.4573248
# License: CC-BY-4.0
# Generated by: research/data_build/build_galaxy_spin_dataset.py
# Total spirals: 18979
#
# LIMITATION: This catalog identifies spiral galaxies but does NOT
# include CW/CCW winding direction. Galaxy Zoo DECaLS classifies
# winding TIGHTNESS (tight/medium/loose), not CHIRALITY.
# For CW/CCW counts, see galaxy_spin_counts.csv (Shamir 2024).
#
galaxy_id,ra,dec,redshift,spiral_vote_fraction,winding_tight,winding_medium,winding_loose,survey_source
J112424.80+031938.9,171.10109857913884,3.32529990348323,0.004647579,0.631578947368421,0.3333333333333333,0.4166666666666667,0.25,Galaxy_Zoo_DECaLS
J150600.79+013802.0,226.50328932920996,1.633812045322609,0.004836687,1.0,0.0,0.0,1.0,Galaxy_Zoo_DECaLS
J123227.70+002207.9,188.11743337103906,0.3888653282683826,0.004900064,0.9090909090909092,0.6,0.3,0.1,Galaxy_Zoo_DECaLS
J095055.37+283303.9,147.73080197704877,28.551066621525976,0.004926754,0.6363636363636364,0.7142857142857143,0.0,0.2857142857142857,Galaxy_Zoo_DECaLS
J152156.39+050410.9,230.4853655908967,5.070632293528375,0.004936756,1.0,0.7586206896551724,0.1379310344827586,0.1034482758620689,Galaxy_Zoo_DECaLS
J123227.94+002326.2,188.11645236236546,0.39063242004612436,0.0050507495,1.0,0.6333333333333333,0.3,0.0666666666666666,Galaxy_Zoo_DECaLS
J145342.90+033454.9,223.42747618849273,3.5857777058795235,0.005226957,0.9666666666666668,0.5172413793103449,0.4137931034482759,0.0689655172413793,Galaxy_Zoo_DECaLS
J122902.09+024323.0,187.2594144962566,2.7223210213806524,0.0052536423,0.8064516129032258,0.24,0.52,0.24,Galaxy_Zoo_DECaLS
J143324.90+042702.0,218.35143883226215,4.4504237587409845,0.0052790404,1.0,0.7647058823529411,0.1764705882352941,0.0588235294117647,Galaxy_Zoo_DECaLS
J151542.60+012724.9,228.92821840407444,1.4554452545676833,0.005285603,0.9565217391304348,0.8181818181818182,0.1363636363636363,0.0454545454545454,Galaxy_Zoo_DECaLS
J123902.48+005058.9,189.7604488503217,0.8497100715888651,0.0053157266,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,Galaxy_Zoo_DECaLS
J143818.12+032437.2,219.5754869164052,3.4103275966428392,0.00536288,0.9375,0.7666666666666667,0.2333333333333333,0.0,Galaxy_Zoo_DECaLS
J144058.30+021111.9,220.24291881364377,2.18672732646004,0.005431462,1.0,0.6785714285714286,0.2857142857142857,0.0357142857142857,Galaxy_Zoo_DECaLS
J143522.80+051635.9,218.84474620792713,5.276387759147826,0.0054637883,0.8214285714285714,0.0869565217391304,0.4782608695652174,0.4347826086956521,Galaxy_Zoo_DECaLS
J091705.28+252545.4,139.27232176380045,25.429621696225823,0.0055111726,0.6428571428571429,0.6666666666666666,0.2222222222222222,0.1111111111111111,Galaxy_Zoo_DECaLS
J142223.70-002309.0,215.59904121394163,-0.38768489033418263,0.0055158543,1.0,0.7428571428571429,0.1714285714285714,0.0857142857142857,Galaxy_Zoo_DECaLS
J214813.00+220933.9,327.0544265697799,22.159574253459215,0.0056238994,0.9285714285714286,0.5897435897435898,0.3076923076923077,0.1025641025641025,Galaxy_Zoo_DECaLS
J093016.90+293224.0,142.57067137755453,29.5399576352552,0.0056672627,0.7380952380952381,0.1935483870967742,0.5806451612903226,0.2258064516129032,Galaxy_Zoo_DECaLS
J122827.30+182454.1,187.11378659134004,18.415022570774987,0.0056819227,0.6363636363636364,0.6428571428571429,0.2857142857142857,0.0714285714285714,Galaxy_Zoo_DECaLS
J123408.79+023913.0,188.5352089463542,2.653854259666373,0.0057906816,0.7333333333333333,0.6363636363636364,0.1818181818181818,0.1818181818181818,Galaxy_Zoo_DECaLS
J123236.49+023940.9,188.1504873132706,2.6586779390705093,0.00586651,1.0,0.0,0.0,1.0,Galaxy_Zoo_DECaLS
J224133.87+002402.7,340.39099528888755,0.40202293718173376,0.005878035,0.9,0.6666666666666666,0.2592592592592592,0.074074074074074,Galaxy_Zoo_DECaLS
J123426.99+021116.9,188.61267390854798,2.188163474251105,0.0060308482,0.9655172413793104,0.3214285714285714,0.4642857142857143,0.2142857142857142,Galaxy_Zoo_DECaLS
J153523.10+120256.0,233.84673365131917,12.047609594660283,0.006050629,0.9130434782608696,0.7142857142857143,0.2857142857142857,0.0,Galaxy_Zoo_DECaLS
J150016.56+021802.5,225.06909248970757,2.300762371553954,0.006065526,0.6666666666666666,0.5,0.0,0.5,Galaxy_Zoo_DECaLS
J143533.70+125427.0,218.88817126918846,12.907584313235027,0.0060808826,0.6666666666666666,0.4,0.3,0.3,Galaxy_Zoo_DECaLS
J150805.60+013905.8,227.02346051099008,1.6516192270140193,0.006110244,0.6842105263157895,0.0769230769230769,0.1538461538461538,0.7692307692307693,Galaxy_Zoo_DECaLS
J155413.89+143604.9,238.55795773958226,14.601221727031177,0.006184288,0.8333333333333334,0.25,0.45,0.3,Galaxy_Zoo_DECaLS
J153822.10+125739.0,234.59090578643784,12.960685884060972,0.006200966,0.6153846153846154,0.4375,0.375,0.1875,Galaxy_Zoo_DECaLS
J094941.39+003716.0,147.42248558448017,0.6210996841090255,0.0062143086,0.9642857142857144,0.0,0.4074074074074074,0.5925925925925926,Galaxy_Zoo_DECaLS
J145753.09+005603.0,224.4717547737086,0.9344779886522221,0.0062373034,1.0,0.0,0.0,1.0,Galaxy_Zoo_DECaLS
J094745.34+023737.0,146.93894761162787,2.626971680528704,0.006263335,0.8666666666666667,0.3846153846153846,0.3846153846153846,0.2307692307692308,Galaxy_Zoo_DECaLS
J115536.94+011413.8,178.9040030658676,1.2371524932484788,0.006288003,1.0,0.9523809523809524,0.0476190476190476,0.0,Galaxy_Zoo_DECaLS
J094552.29+025840.0,146.46786882651924,2.9779076474689083,0.0063177138,0.7826086956521741,0.1111111111111111,0.1111111111111111,0.7777777777777778,Galaxy_Zoo_DECaLS
